year,scene_id,timestamp
2021,20210705T024549_20210705T030737_T49MDP,1625454574619
2021,20210707T023551_20210707T025715_T49MDP,1625626780685
2021,20210710T024551_20210710T025924_T49MDP,1625886576023
2021,20210720T024551_20210720T025924_T49MDP,1626750576478
2021,20210725T024549_20210725T030738_T49MDP,1627182575107
2021,20210727T023551_20210727T024855_T49MDP,1627354781422
2021,20210730T024551_20210730T030322_T49MDP,1627614576405
2021,20210801T023549_20210801T025917_T49MDP,1627786779628
2021,20210811T023549_20210811T024906_T49MDP,1628650778677
2021,20210814T024549_20210814T025932_T49MDP,1628910573370
2021,20210816T023551_20210816T024857_T49MDP,1629082780494
2021,20210826T023551_20210826T024856_T49MDP,1629946779928
2021,20210910T023549_20210910T025912_T49MDP,1631242774428
2021,20210918T024551_20210918T025923_T49MDP,1631934575195
2021,20210920T023549_20210920T025731_T49MDP,1632106775012
2021,20210928T024551_20210928T030323_T49MDP,1632798577107
2021,20210930T023549_20210930T025835_T49MDP,1632970777343
2021,20211005T023551_20211005T025522_T49MDP,1633402782916
2021,20211008T024621_20211008T025950_T49MDP,1633662578266
2021,20211010T023619_20211010T025904_T49MDP,1633834778894
2022,20220528T023549_20220528T024905_T49MDP,1653706778153
2022,20220531T024549_20220531T025932_T49MDP,1653966573008
2022,20220705T024541_20220705T025914_T49MDP,1656990586189
2022,20220710T024529_20220710T025916_T49MDP,1657422577792
2022,20220720T024529_20220720T025916_T49MDP,1658286578005
2022,20220809T024529_20220809T025915_T49MDP,1660014577072
2022,20220814T024541_20220814T025855_T49MDP,1660446585470
2022,20220819T024529_20220819T025913_T49MDP,1660878575024
2022,20220829T024529_20220829T025912_T49MDP,1661742573720
2022,20220915T023529_20220915T024846_T49MDP,1663210779998
2022,20220925T023529_20220925T024845_T49MDP,1664074778757
2023,20230121T025021_20230121T030356_T49MDP,1674270568381
2023,20230309T023531_20230309T024832_T49MDP,1678330772994
2023,20230319T023531_20230319T024832_T49MDP,1679194776172
2023,20230501T024531_20230501T030328_T49MDP,1682910569157
2023,20230501T024531_20230501T030925_T49MDP,1682910575656
2023,20230513T023529_20230513T024836_T49MDP,1683946781114
2023,20230516T024529_20230516T025857_T49MDP,1684206577299
2023,20230521T024531_20230521T030833_T49MDP,1684638575734
2023,20230526T024529_20230526T025858_T49MDP,1685070577849
2023,20230528T023531_20230528T024830_T49MDP,1685242781675
2023,20230531T024531_20230531T025857_T49MDP,1685502576965
2023,20230610T024531_20230610T025651_T49MDP,1686366572400
2023,20230610T024531_20230610T030928_T49MDP,1686366578878
2023,20230625T024529_20230625T025858_T49MDP,1687662577498
2023,20230627T023531_20230627T024830_T49MDP,1687834781694
2023,20230630T024531_20230630T030607_T49MDP,1688094577460
2023,20230705T024529_20230705T025859_T49MDP,1688526578526
2023,20230710T024531_20230710T025859_T49MDP,1688958578380
2023,20230712T023529_20230712T024831_T49MDP,1689130782883
2023,20230717T023531_20230717T024831_T49MDP,1689562782673
2023,20230720T024531_20230720T030834_T49MDP,1689822577099
2023,20230722T023539_20230722T024833_T49MDP,1689994784008
2023,20230725T024529_20230725T025859_T49MDP,1690254579112
2023,20230727T023531_20230727T025835_T49MDP,1690426783130
2023,20230804T024529_20230804T030444_T49MDP,1691118577745
2023,20230821T023529_20230821T025345_T49MDP,1692586782878
2023,20230824T024529_20230824T030226_T49MDP,1692846577246
2023,20230826T023531_20230826T025557_T49MDP,1693018784005
2023,20230829T024531_20230829T030547_T49MDP,1693278578712
2023,20230831T023529_20230831T025334_T49MDP,1693450782767
2023,20230903T024529_20230903T030224_T49MDP,1693710577886
2023,20230905T023531_20230905T025556_T49MDP,1693882783399
2023,20230910T023529_20230910T025226_T49MDP,1694314781959
2023,20230913T024529_20230913T030225_T49MDP,1694574576346
2023,20230915T023531_20230915T025555_T49MDP,1694746782083
2023,20230918T024531_20230918T030548_T49MDP,1695006576190
2023,20230920T023529_20230920T024830_T49MDP,1695178781622
2023,20230930T023529_20230930T024829_T49MDP,1696042780242
2023,20231005T023541_20231005T025838_T49MDP,1696474779280
2023,20231010T023619_20231010T024915_T49MDP,1696906779499
2023,20231013T024649_20231013T030011_T49MDP,1697166575253
2023,20231018T024711_20231018T030041_T49MDP,1697598572550
